Date/Time,Electricity:Facility [J](TimeStep),InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 06/22  16:30:00,0.0,0.0,,,,,,576955.6505346838,0.0,0.0 
 06/22  16:40:00,0.0,0.0,,,,,,508124.04421434298,0.0,0.0 
 06/22  16:50:00,0.0,0.0,,,,,,498743.48350256009,0.0,0.0 
 06/22  17:00:00,0.0,0.0,0.0,0.0,3316293.1388867667,0.0,0.0,479629.85254587305,0.0,0.0 
 06/22  17:10:00,12090.749999999998,12090.749999999998,,,,,,477932.418649559,141314.16373429844,0.0 
 06/22  17:20:00,12090.749999999998,12090.749999999998,,,,,,469368.6551481568,141314.16373429844,0.0 
 06/22  17:30:00,12090.749999999998,12090.749999999998,,,,,,460415.02316443299,141314.16373429844,0.0 
 06/22  17:40:00,12090.749999999998,12090.749999999998,,,,,,450910.4415610428,141314.16373429844,0.0 
 06/22  17:50:00,12090.749999999998,12090.749999999998,,,,,,440988.82030722618,141314.16373429844,0.0 
 06/22  18:00:00,12090.749999999998,12090.749999999998,72544.49999999999,72544.49999999999,2730567.518734794,847884.9824057906,0.0,430952.15990437686,141314.16373429844,0.0 
 06/22  18:10:00,97376.88671629358,97376.88671629358,,,,,,465078.31841072966,282628.32746859689,0.0 
 06/22  18:20:00,99596.33560843402,99596.33560843402,,,,,,460115.4573781066,282628.32746859689,0.0 
 06/22  18:30:00,102153.15000000001,102153.15000000001,,,,,,456334.23662928576,282628.32746859689,0.0 
 06/22  18:40:00,102153.15000000001,102153.15000000001,,,,,,452764.2460745721,282628.32746859689,0.0 
 06/22  18:50:00,102153.15000000001,102153.15000000001,,,,,,449736.02978985497,282628.32746859689,0.0 
 06/22  19:00:00,102153.15000000001,102153.15000000001,605585.8223247277,605585.8223247277,2731042.112381532,1695769.9648115813,0.0,447013.8240989828,282628.32746859689,0.0 
 06/22  19:10:00,102153.15000000001,102153.15000000001,,,,,,814481.7776276092,282628.3274685968,0.0 
 06/22  19:20:00,102153.15000000001,102153.15000000001,,,,,,803150.973365125,282628.32746859689,0.0 
 06/22  19:30:00,102153.15000000001,102153.15000000001,,,,,,759609.847898578,282628.32746859689,0.0 
 06/22  19:40:00,102153.15000000001,102153.15000000001,,,,,,704022.981015099,282628.32746859689,0.0 
 06/22  19:50:00,102153.15000000001,102153.15000000001,,,,,,692015.5613595462,282628.32746859689,0.0 
 06/22  20:00:00,102153.15000000001,102153.15000000001,612918.9,612918.9,4446343.592264898,1695769.9648115813,0.0,673062.4509989409,282628.32746859689,0.0 
 06/22  20:10:00,102153.15000000001,102153.15000000001,,,,,,656859.1663864493,84788.49824057908,0.0 
 06/22  20:20:00,102153.15000000001,102153.15000000001,,,,,,646040.5654350624,84788.49824057908,0.0 
 06/22  20:30:00,102153.15000000001,102153.15000000001,,,,,,636292.4933498831,84788.49824057908,0.0 
 06/22  20:40:00,102153.15000000001,102153.15000000001,,,,,,627416.9122151602,84788.49824057908,0.0 
 06/22  20:50:00,102153.15000000001,102153.15000000001,,,,,,619440.0201972728,84788.49824057908,0.0 
 06/22  21:00:00,102153.15000000001,102153.15000000001,612918.9,612918.9,3798191.489890278,508730.9894434745,0.0,612142.3323064502,84788.49824057908,0.0 
 06/22  21:10:00,90062.40000000001,90062.40000000001,,,,,,491571.5479338085,8508.984444546382,0.0 
 06/22  21:20:00,90062.40000000001,90062.40000000001,,,,,,483718.3032114285,8508.984444546382,0.0 
 06/22  21:30:00,90062.40000000001,90062.40000000001,,,,,,475748.4256719026,8508.984444546384,0.0 
 06/22  21:40:00,90062.40000000001,90062.40000000001,,,,,,467771.6284505611,8508.984444546384,0.0 
 06/22  21:50:00,90062.40000000001,90062.40000000001,,,,,,459518.29283287588,8508.984444546384,0.0 
 06/22  22:00:00,90062.40000000001,90062.40000000001,540374.4,540374.4,2829388.320538593,51053.906667278294,0.0,451060.12243801637,8508.984444546384,0.0 
 06/22  22:10:00,0.0,0.0,,,,,,404729.18629103197,25526.953333639154,0.0 
 06/22  22:20:00,0.0,0.0,,,,,,398282.33685258627,25526.953333639154,0.0 
 06/22  22:30:00,0.0,0.0,,,,,,393457.5711131952,25526.953333639154,0.0 
 06/22  22:40:00,0.0,0.0,,,,,,389391.60326598267,25526.953333639154,0.0 
 06/22  22:50:00,0.0,0.0,,,,,,385923.96696390668,25526.953333639154,0.0 
 06/22  23:00:00,0.0,0.0,0.0,0.0,2354645.1474007356,153161.72000183495,0.0,382860.4829140329,25526.953333639154,0.0 
 06/22  23:10:00,0.0,0.0,,,,,,184836.37763651997,34035.93777818553,0.0 
 06/22  23:20:00,0.0,0.0,,,,,,180571.29742787477,34035.93777818553,0.0 
 06/22  23:30:00,0.0,0.0,,,,,,176182.63819492749,34035.93777818554,0.0 
 06/22  23:40:00,0.0,0.0,,,,,,171467.89964043586,34035.93777818554,0.0 
 06/22  23:50:00,0.0,0.0,,,,,,166627.6416883901,34035.93777818554,0.0 
 06/22  24:00:00,0.0,0.0,0.0,0.0,1040846.9880210545,204215.62666911318,0.0,161161.1334329063,34035.93777818554,0.0 
 06/23  00:10:00,0.0,0.0,,,,,,158365.58267631,34035.93777818554,0.0 
 06/23  00:20:00,0.0,0.0,,,,,,156303.01965798194,34035.93777818554,0.0 
 06/23  00:30:00,0.0,0.0,,,,,,155348.59101105613,34035.93777818554,0.0 
 06/23  00:40:00,0.0,0.0,,,,,,155415.57918852865,34035.93777818554,0.0 
 06/23  00:50:00,0.0,0.0,,,,,,156266.69442553065,34035.93777818554,0.0 
 06/23  01:00:00,0.0,0.0,0.0,0.0,939387.6152076381,204215.6266691132,0.0,157688.1482482309,34035.93777818554,0.0 
 06/23  01:10:00,0.0,0.0,,,,,,158095.23138358459,34035.93777818554,0.0 
 06/23  01:20:00,0.0,0.0,,,,,,158380.68812530899,34035.93777818554,0.0 
 06/23  01:30:00,0.0,0.0,,,,,,158388.3614555536,34035.93777818554,0.0 
 06/23  01:40:00,0.0,0.0,,,,,,158012.94975652576,34035.93777818554,0.0 
 06/23  01:50:00,0.0,0.0,,,,,,157387.80543721195,34035.93777818554,0.0 
 06/23  02:00:00,0.0,0.0,0.0,0.0,946867.8670899927,204215.6266691132,0.0,156602.830931808,34035.93777818554,0.0 
 06/23  02:10:00,0.0,0.0,,,,,,155678.69054957899,34035.93777818554,0.0 
 06/23  02:20:00,0.0,0.0,,,,,,154443.95771996465,34035.93777818554,0.0 
 06/23  02:30:00,0.0,0.0,,,,,,152826.5460645989,34035.93777818554,0.0 
 06/23  02:40:00,0.0,0.0,,,,,,150842.4299694234,34035.93777818554,0.0 
 06/23  02:50:00,0.0,0.0,,,,,,148660.15648118073,34035.93777818554,0.0 
 06/23  03:00:00,0.0,0.0,0.0,0.0,908771.9745503676,204215.6266691132,0.0,146320.19376562094,34035.93777818554,0.0 
 06/23  03:10:00,0.0,0.0,,,,,,286715.03749541417,34035.93777818554,0.0 
 06/23  03:20:00,0.0,0.0,,,,,,215067.68025931583,34035.93777818554,0.0 
 06/23  03:30:00,0.0,0.0,,,,,,273462.44105266677,34035.93777818554,0.0 
 06/23  03:40:00,0.0,0.0,,,,,,256776.86246818567,34035.93777818554,0.0 
 06/23  03:50:00,0.0,0.0,,,,,,248846.53593324714,34035.93777818554,0.0 
 06/23  04:00:00,0.0,0.0,0.0,0.0,1524758.9717377804,204215.6266691132,0.0,243890.414528951,34035.93777818554,0.0 
 06/23  04:10:00,0.0,0.0,,,,,,553949.9265934079,34035.93777818554,0.0 
 06/23  04:20:00,0.0,0.0,,,,,,334076.4048705456,34035.93777818554,0.0 
 06/23  04:30:00,0.0,0.0,,,,,,454544.05497427997,34035.93777818554,0.0 
 06/23  04:40:00,0.0,0.0,,,,,,427470.66071166816,34035.93777818554,0.0 
 06/23  04:50:00,0.0,0.0,,,,,,400458.8527256786,34035.93777818554,0.0 
 06/23  05:00:00,0.0,0.0,0.0,0.0,2555435.318841958,204215.6266691132,0.0,384935.4189663776,34035.93777818554,0.0 
