time,G(i),H_sun,T2m,WS10m,Int
20160115:1109,403.01,30.33,13.92,7.95,0.0
20160115:1209,234.0,26.77,14.44,8.28,0.0
20160115:1309,238.01,20.5,14.11,8.19,0.0
20160115:1409,94.0,12.18,13.77,8.1,0.0
20160115:1509,0.0,0.0,13.44,8.01,0.0
20160115:1609,0.0,0.0,12.86,8.0,0.0
20160115:1709,0.0,0.0,12.28,7.98,0.0
20160115:1809,0.0,0.0,11.71,7.96,0.0
20160115:1909,0.0,0.0,11.69,8.37,0.0
20160115:2009,0.0,0.0,11.67,8.79,0.0
20160115:2109,0.0,0.0,11.65,9.2,0.0
20160115:2209,0.0,0.0,11.86,9.4,0.0
20160115:2309,0.0,0.0,12.07,9.6,0.0
20160116:0009,0.0,0.0,12.28,9.79,0.0
20160116:0109,0.0,0.0,12.26,9.88,0.0
20160116:0209,0.0,0.0,12.24,9.98,0.0
20160116:0309,0.0,0.0,12.23,10.07,0.0
20160116:0409,0.0,0.0,12.33,10.24,0.0
20160116:0509,0.0,0.0,12.44,10.41,0.0
20160116:0609,19.0,4.5,12.55,10.58,0.0
20160116:0709,196.01,14.04,13.37,11.23,0.0
20160116:0809,266.01,22.04,14.2,11.88,0.0
20160116:0909,283.0,27.86,15.02,12.52,0.0
20160116:1009,427.01,30.83,15.15,13.09,0.0
20160116:1109,67.0,30.52,15.28,13.66,0.0
20160116:1209,67.0,26.98,15.41,14.22,0.0
20160116:1309,57.0,20.7,15.35,14.23,0.0
20160116:1409,35.0,12.38,15.28,14.23,0.0
20160116:1509,2.0,2.61,15.22,14.23,0.0
20160116:1609,0.0,0.0,14.96,14.59,0.0
20160116:1709,0.0,0.0,14.7,14.95,0.0
20160116:1809,0.0,0.0,14.44,15.31,0.0
20160116:1909,0.0,0.0,14.12,15.31,0.0
20160116:2009,0.0,0.0,13.8,15.3,0.0
20160116:2109,0.0,0.0,13.48,15.3,0.0
20160116:2209,0.0,0.0,12.87,14.83,0.0
20160116:2309,0.0,0.0,12.25,14.36,0.0
20160117:0009,0.0,0.0,11.64,13.89,0.0
20160117:0109,0.0,0.0,10.67,13.03,0.0
20160117:0209,0.0,0.0,9.7,12.18,0.0
20160117:0309,0.0,0.0,8.74,11.32,0.0
20160117:0409,0.0,0.0,8.4,10.4,0.0
20160117:0509,0.0,0.0,8.06,9.47,0.0
20160117:0609,15.0,4.57,7.72,8.54,0.0
20160117:0709,101.0,14.14,8.93,7.94,0.0
20160117:0809,112.0,22.16,10.14,7.35,0.0
20160117:0909,216.0,28.02,11.35,6.76,0.0
20160117:1009,62.0,31.02,11.5,6.41,0.0
20160117:1109,100.0,30.73,11.65,6.07,0.0
20160117:1209,40.0,27.19,11.8,5.72,0.0
20160117:1309,81.0,20.91,11.49,4.38,0.0
20160117:1409,16.0,12.57,11.17,3.04,0.0
20160117:1509,12.57,2.8,10.86,1.7,0.0
20160117:1609,0.0,0.0,10.32,2.46,0.0
20160117:1709,0.0,0.0,9.78,3.23,0.0
20160117:1809,0.0,0.0,9.25,4.0,0.0
20160117:1909,0.0,0.0,8.78,5.25,0.0
20160117:2009,0.0,0.0,8.32,6.5,0.0
20160117:2109,0.0,0.0,7.85,7.75,0.0
20160117:2209,0.0,0.0,7.68,8.81,0.0
20160117:2309,0.0,0.0,7.51,9.87,0.0
20160118:0009,0.0,0.0,7.35,10.92,0.0
20160118:0109,0.0,0.0,7.07,10.58,0.0
20160118:0209,0.0,0.0,6.79,10.23,0.0
20160118:0309,0.0,0.0,6.52,9.89,0.0
20160118:0409,0.0,0.0,6.38,10.66,0.0
20160118:0509,0.0,0.0,6.25,11.43,0.0
20160118:0609,14.0,4.66,6.12,12.19,0.0
20160118:0709,18.0,14.24,6.41,12.72,0.0
20160118:0809,31.0,22.3,6.7,13.25,0.0
20160118:0909,55.0,28.18,6.99,13.78,0.0
20160118:1009,76.0,31.21,6.94,13.3,0.0
20160118:1109,90.0,30.94,6.89,12.82,0.0
20160118:1209,51.0,27.4,6.84,12.34,0.0
20160118:1309,55.0,21.12,6.46,12.05,0.0
20160118:1409,37.0,12.78,6.09,11.75,0.0
20160118:1509,2.0,2.99,5.71,11.45,0.0
20160118:1609,0.0,0.0,5.31,11.16,0.0
20160118:1709,0.0,0.0,4.91,10.87,0.0
20160118:1809,0.0,0.0,4.52,10.58,0.0
20160118:1909,0.0,0.0,4.22,10.23,0.0
20160118:2009,0.0,0.0,3.92,9.89,0.0
20160118:2109,0.0,0.0,3.62,9.54,0.0
20160118:2209,0.0,0.0,3.54,9.35,0.0
20160118:2309,0.0,0.0,3.46,9.15,0.0
20160119:0009,0.0,0.0,3.39,8.95,0.0
20160119:0109,0.0,0.0,3.28,8.25,0.0
20160119:0209,0.0,0.0,3.18,7.54,0.0
20160119:0309,0.0,0.0,3.08,6.84,0.0
20160119:0409,0.0,0.0,2.93,6.52,0.0
20160119:0509,0.0,0.0,2.79,6.21,0.0
20160119:0609,25.0,4.75,2.65,5.89,0.0
20160119:0709,189.0,14.36,3.76,5.48,0.0
20160119:0809,336.01,22.44,4.86,5.07,0.0
20160119:0909,439.01,28.35,5.97,4.66,0.0
20160119:1009,506.01,31.41,6.4,4.14,0.0
20160119:1109,501.01,31.15,6.84,3.61,0.0
20160119:1209,384.0,27.62,7.27,3.09,0.0
20160119:1309,327.01,21.33,7.26,3.1,0.0
20160119:1409,143.0,12.98,7.25,3.12,0.0
20160119:1509,24.83,3.19,7.24,3.13,0.0
20160119:1609,0.0,0.0,6.83,3.04,0.0
20160119:1709,0.0,0.0,6.42,2.95,0.0
20160119:1809,0.0,0.0,6.02,2.86,0.0
20160119:1909,0.0,0.0,5.93,3.08,0.0
20160119:2009,0.0,0.0,5.84,3.31,0.0
20160119:2109,0.0,0.0,5.75,3.53,0.0
20160119:2209,0.0,0.0,5.97,3.74,0.0
20160119:2309,0.0,0.0,6.19,3.94,0.0
20160120:0009,0.0,0.0,6.41,4.15,0.0
20160120:0109,0.0,0.0,6.66,4.72,0.0
20160120:0209,0.0,0.0,6.92,5.28,0.0
