Date/Time,T_out,Cooling Power,Heating Power,avg_T_in,Power
 09/08  07:20:00,27.0370370366667,0.1473240155016011,0.0,25.070155515271797,0.3208348056682677
 09/08  07:30:00,27.2222222225,0.1495620068903275,0.0,25.081119882868766,0.32307279705699415
 09/08  07:40:00,27.4074074083333,0.15185970528232196,0.0,25.09256153539313,0.3253704954489886
 09/08  07:50:00,27.5925925941667,0.15425273385367916,0.0,25.104441087190168,0.3277635240203458
 09/08  08:00:00,27.77777778,0.1568792464719489,0.0,25.117016066741968,0.33039003663861555
 09/08  08:10:00,27.962962965,0.1531282030209164,0.0,25.1290008988715,0.32155548268523304
 09/08  08:20:00,28.14814815,0.15586743602923167,0.0,25.141659256899867,0.32429471569354834
 09/08  08:30:00,28.333333335,0.15871878494833083,0.0,25.154560545627003,0.3271460646126475
 09/08  08:40:00,28.51851852,0.16169149915705028,0.0,25.167641057624234,0.330118778821367
 09/08  08:50:00,28.703703705,0.164798641794905,0.0,25.180809421309466,0.3332259214592217
 09/08  09:00:00,28.88888889,0.16799867401747,0.0,25.194092350007367,0.3364259536817867
 09/08  09:10:00,28.9814814825,0.05332383838399972,0.0,25.188954770529435,0.06041512834193305
 09/08  09:20:00,29.074074075,0.05404182209357278,0.0,25.193954435438865,0.06113311205150611
 09/08  09:30:00,29.1666666675,0.05525455211742389,0.0,25.199887126385832,0.06234584207535722
 09/08  09:40:00,29.25925926,0.05646967480170556,0.0,25.206397853567335,0.06356096475963889
 09/08  09:50:00,29.3518518525,0.05761541159230195,0.0,25.21303093911777,0.06470670155023528
 09/08  10:00:00,29.444444445,0.05869443173231139,0.0,25.219946099547798,0.06578572169024473
 09/08  10:10:00,29.7222222225,0.06084940230436083,0.0,25.227045031340698,0.06794069226229417
 09/08  10:20:00,30.0,0.062928394281655,0.0,25.2342705957437,0.07001968423958833
 09/08  10:30:00,30.2777777775,0.06492393158992722,0.0,25.2414988224262,0.07201522154786055
 09/08  10:40:00,30.555555555,0.06672953739738667,0.0,25.248302191096002,0.07382082735532
 09/08  10:50:00,30.8333333325,0.06839752758806916,0.0,25.254824414636136,0.07548881754600249
 09/08  11:00:00,31.11111111,0.06996817112937251,0.0,25.261235230271268,0.07705946108730584
 09/08  11:10:00,31.2037037025,0.070359587511465,0.0,25.267187561431935,0.07745087746939833
 09/08  11:20:00,31.296296295,0.07071497740167806,0.0,25.27272489021797,0.0778062673596114
 09/08  11:30:00,31.3888888875,0.07100183918145361,0.0,25.277377589153264,0.07809312913938694
 09/08  11:40:00,31.48148148,0.07198257537561695,0.0,25.2833842602914,0.07907386533355028
 09/08  11:50:00,31.5740740725,0.07318111279437112,0.0,25.28884545546987,0.08027240275230445
 09/08  12:00:00,31.666666665,0.07442828771792362,0.0,25.2941897042396,0.08151957767585695
 09/08  12:10:00,31.7592592575,0.07569701710115723,0.0,25.29963377611323,0.08278830705909056
 09/08  12:20:00,31.85185185,0.07698072175363528,0.0,25.305197026712133,0.08407201171156861
 09/08  12:30:00,31.9444444425,0.07829442628029529,0.0,25.310975753219466,0.08538571623822862
 09/08  12:40:00,32.037037035,0.07950652137927222,0.0,25.316388982370636,0.08659781133720555
 09/08  12:50:00,32.1296296275,0.08072537957602417,0.0,25.321915142657968,0.0878166695339575
 09/08  13:00:00,32.22222222,0.08195532082428889,0.0,25.327495642583898,0.08904661078222222
 09/08  13:10:00,32.1296296275,0.0821721281758261,0.0,25.3329122091935,0.08926341813375943
 09/08  13:20:00,32.037037035,0.08237050278125528,0.0,25.33817465583053,0.08946179273918861
 09/08  13:30:00,31.9444444425,0.08254349161942083,0.0,25.343217935634,0.08963478157735416
 09/08  13:40:00,31.85185185,0.08261523157475834,0.0,25.347676599657166,0.08970652153269167
 09/08  13:50:00,31.7592592575,0.08263670280565222,0.0,25.351775454463734,0.08972799276358555
 09/08  14:00:00,31.666666665,0.08259605847251,0.0,25.35536939704377,0.08968734843044333
 09/08  14:10:00,31.7592592575,0.0835041544801125,0.0,25.358672200426366,0.09059544443804583
 09/08  14:20:00,31.85185185,0.08434992218874833,0.0,25.361493420880432,0.09144121214668166
 09/08  14:30:00,31.9444444425,0.08513798085826389,0.0,25.363915771171296,0.09222927081619722
 09/08  14:40:00,32.037037035,0.08582529852497527,0.0,25.365743021774534,0.0929165884829086
 09/08  14:50:00,32.1296296275,0.08645869588417916,0.0,25.36723633888133,0.09354998584211249
 09/08  15:00:00,32.22222222,0.08703978790384334,0.0,25.368361116676265,0.09413107786177667
 09/08  15:10:00,32.037037035,0.08608176567058028,0.0,25.36902333979857,0.0931730556285136
 09/08  15:20:00,31.85185185,0.0850715637221364,0.0,25.36929135818657,0.09216285368006973
 09/08  15:30:00,31.666666665,0.08400597308250055,0.0,25.3691346171976,0.09109726304043388
 09/08  15:40:00,31.48148148,0.08272445246566111,0.0,25.367677298988898,0.08981574242359444
 09/08  15:50:00,31.296296295,0.0813957664850536,0.0,25.36579306529707,0.08848705644298693
